"id","title","description","availability","condition","price","link","image_link","additional_image_link","brand","product_type","custom_label_0"
"116544055","【カウンセリング商品】 HAAB SKINプレミアムエクソソームセラム30ml","・ヒト幹細胞培養液 ・ヒト線維芽細胞培養液 ・エクソソーム培養液 ・世界最小400分子ヒアルロン酸 クリニック医師監修の元、ベストバランスで配合。 肌細胞にアプローチし、 あなたのお肌を20歳代のピークに戻します 。 ①ヒト臍帯血細胞順化培養液：線維芽細胞を産出 ②ヒト線維芽細胞 順化培養液：コラーゲン/ヒアルロン酸 エラスチンを産出 ③ヒト脂肪由来間葉系細胞 エクソソーム：線維 芽細胞の活性。コラーゲン産出を2倍にする。 ④ヒアルロン酸：1ｇで6リットルの保水力 【効能】 線維芽細胞産出線維芽細胞活性化/ニキビ跡/鎮静/ハリ/シワ/コラーゲン合成（ハリ/シワ） ヒアルロン酸合成（乾燥）/エラスチン合成（たるみ） 【内容量】 30mL 【全成分】 水、ヒト線維芽細胞順化培養液、ヒト臍帯血細胞順化培養液、ヒト脂肪由来間葉系細胞エクソソーム、プロパンジオール、ナイアシンアミド、グリチルリチン酸2K、 ヒアルロン酸Na、(クロロフィリン/銅)複合体、アラントイン、BG、加水分解ヒアルロン酸Na、アルニカ花エキス、オドリコソウ花/葉/茎エキス、オランダガラシ葉/茎エキス、 ゴボウ根エキス、セイヨウアカマツ球果エキス、セイヨウキズタ葉/茎エキス、ニンニク根エキス、ローズマリ一葉エキス、ローマカミツレ花エキス、クエン酸、フェノキシエタノール 【使用上の注意】 ⚫傷やはれもの、湿疹等異常のあるところにはお使いにならないでください。 お肌に異常が生じていないかよく注意して使用してください。 お肌に合わない場合は、ご使用を中止してください。 ⚫使用中、又は使用したお肌に直射日光があたって、赤みはれ、かゆみ、刺激、色抜け(白斑等)や黒ずみ等の異常があらわれた場合は、そのまま使用を続けますと症状を悪化させることがありますので、ご使用を中止し、皮膚科専門医等にご相談されることをおすすめします。 ⚫目に入らないように注意し、入ったときはすぐに水又はぬるま湯で洗い流してください。 ⚫乳幼児などの誤飲等を防ぐため、置き場所にご注意ください。 ⚫高温又は直射日光のあた ※場所には保管しないでください。","in stock","new","39600 JPY","https://aimer12.base.shop/items/116544055","https://baseec-img-mng.akamaized.net/images/item/origin/ca3e7791b5521334fc783d55cf77f0ab.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal","https://baseec-img-mng.akamaized.net/images/item/origin/a164217f95580ee71652e751dec98494.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal","HAAB","HAAB > HAAB SKIN(ハーブスキン)","members_only"
"116546543","トータルセレニティセラム30ml","CHRISTINA UNSTRESS トータル セレニティ セラム 30ml ストレスや外的刺激で敏感に傾いた肌をやさしく整え、健やかで落ち着いた状態へ導く集中美容液。 軽やかなテクスチャーで素早くなじみ、うるおいとハリを与えます。 ⸻ 特徴 • 鎮静効果：敏感になった肌を落ち着かせ、赤みや刺激をケア • 高保湿処方：角質層までしっかり水分を届け、乾燥を防止 • バリア機能サポート：外的ストレスに負けない健やかな肌へ • エイジングケア：ハリや弾力を与え、なめらかな素肌に ⸻ このような方におすすめ • 肌の赤みや敏感さが気になる方 • 外的ストレスや乾燥でゆらぎやすい方 • 健やかで落ち着いた肌を保ちたい方 • エイジングケアも取り入れたい方 ⸻ 使用方法 朝晩、化粧水で整えた後に適量を顔全体に塗布し、やさしくなじませてください。 その後にクリームで仕上げると効果的です。 ⸻ 商品詳細 • 内容量：30ml • ブランド：CHRISTINA（クリスティーナ） • ライン：UNSTRESS（アンストレス） • 原産国：イスラエル ⸻ トータル セレニティ セラムは、肌を穏やかに整えながら、うるおいとハリを与える集中ケア美容液。 敏感肌やストレスを感じやすい肌におすすめの1本です。 ※クリスティーナはカウンセリングの必要な化粧品になりますので、初回ご購入の方は【カウンセリング希望】と公式LINEにメッセージをください♡","in stock","new","13200 JPY","https://aimer12.base.shop/items/116546543","https://baseec-img-mng.akamaized.net/images/item/origin/2c99e43dcae371ade794f189d8bde869.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal","https://baseec-img-mng.akamaized.net/images/item/origin/64e8aa29b1d28cb33273563610e373ac.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal,https://baseec-img-mng.akamaized.net/images/item/origin/a0fd7e4ea2d82931e5aaead01cebfde8.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal,https://baseec-img-mng.akamaized.net/images/item/origin/c70f90a9a1c6f5f734ec3f7d9188ab01.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal","CHRISTINA","CHRISTINA > UNSTRESS(アンストレス)",""
"116550487","アブソリュートイモーテル","CHRISTINA NUANCE アブソリュート イモーテル イモーテルエキス・レチノイド・ビタミンCを配合した夜用オイルセラム。 睡眠中に肌のハリ・弾力・トーン・艶を集中的にケアし、なめらかな肌質へ導きます。 ⸻ 特徴 • イモーテルエキス：肌の土台を整え、明るさとハリ感をサポート • レチノイド：キメを整え、なめらかで弾むような肌へ • ビタミンC：乾燥によるくすみをケアし、透明感と均一なトーンを後押し • 軽やかにのびるオイルドロップ処方で、しっとり感と心地よさを両立 ⸻ このような方におすすめ • ハリや弾力不足が気になる • 乾燥やくすみで肌が疲れて見える • 夜の集中ケアで翌朝の肌を整えたい ⸻ 使用方法 夜、化粧水で整えた後に2〜3滴を顔全体や首元になじませてください。 夜専用のため、朝は使用せず、日中は日焼け止めなどのUVケアを併用してください。 ⸻ 商品詳細 • 内容量：30ml • ブランド：CHRISTINA（クリスティーナ） • ライン：NUANCE（ニュアンス） • 原産国：イスラエル ※クリスティーナはカウンセリングの必要な化粧品になりますので、初回ご購入の方は【カウンセリング希望】と公式LINEにメッセージをください♡","in stock","new","13200 JPY","https://aimer12.base.shop/items/116550487","https://baseec-img-mng.akamaized.net/images/item/origin/46b8dee719fce6fe0be0f4403072f217.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal","https://baseec-img-mng.akamaized.net/images/item/origin/f2fee8011de8aa7efc505716f1b5fd2c.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal","CHRISTINA","CHRISTINA > NUANCE(ニュアンス)",""
"116549033","エンチャンティングボディクリーム300ml","CHRISTINA MUSE エンチャンティング ボディクリーム 300ml バラの香りに包まれながら、全身をうるおいで満たすボディクリーム。 リッチな保湿成分が乾燥を防ぎ、しっとりとなめらかな肌を長時間キープします。華やかで優雅な香りが一日中続き、ボディケアの時間を特別なひとときに変えてくれます。 ⸻ 特徴 • 高保湿処方：乾燥を防ぎ、しっとりやわらかな肌へ • エレガントな香り：ローズを中心とした華やかで上品な香り • なめらかな使用感：ベタつかず、すっと肌になじむテクスチャー • デイリーケアに最適：毎日のボディケアを心地よく楽しめる ⸻ このような方におすすめ • 肌の乾燥やごわつきが気になる方 • 香りも楽しめるボディクリームを探している方 • 毎日のケアを特別なリラックスタイムにしたい方 • しっとり感と上品な香りを長時間キープしたい方 ⸻ 使用方法 入浴後や乾燥が気になるときに、適量を手に取り全身になじませてください。 特に乾燥しやすいひじ・ひざ・かかとには重ね塗りがおすすめです。 ⸻ 商品詳細 • 内容量：300ml • ブランド：CHRISTINA（クリスティーナ） • ライン：MUSE（ミューズ） • 原産国：イスラエル ⸻ エンチャンティング ボディクリームは、ローズの香りと濃密な保湿で肌も心も満たすラグジュアリーなボディケア。 毎日の習慣に取り入れることで、しっとりと輝くような素肌を保ちます。 ※クリスティーナはカウンセリングの必要な化粧品になりますので、初回ご購入の方は【カウンセリング希望】と公式LINEにメッセージをください♡","in stock","new","4950 JPY","https://aimer12.base.shop/items/116549033","https://baseec-img-mng.akamaized.net/images/item/origin/f612ea500b104578fdf29a2a0748eed5.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal","https://baseec-img-mng.akamaized.net/images/item/origin/174613fdb75dd36b6a8cff7c85f989c3.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal","CHRISTINA","CHRISTINA > MUSE(ミューズ)",""
"116829277","ハーバルコンプレックス75ml","CHRISTINA BIOPHYTO ハーバルコンプレックス 肌のリズムを整え、くすみやゴワつきをやさしくケアする美容液。 天然ハーブエキスを高濃度に配合し、肌のターンオーバーをサポート。使うたびに透明感と滑らかさを引き出します。 ⸻ 特徴成分 • ハーブエキスブレンド：くすみをケアし、肌に明るさを与える • 整肌成分：ターンオーバーをサポートし、健やかな肌へ導く • 保湿成分：乾燥を防ぎ、なめらかでしっとりとした質感をキープ ⸻ このような方におすすめ • 肌のくすみが気になる方 • ごわつきやザラつきを改善したい方 • 健やかで明るい印象の肌を目指す方 • ナチュラルケアで肌を整えたい方 ⸻ 使用方法 化粧水で肌を整えた後、顔全体または気になる部分に数滴をなじませてください。 その後、クリームなどで仕上げるとより効果的です。 週数回のスペシャルケア、または必要に応じてご使用いただけます。 ⸻ 商品詳細 • 内容量：30ml • ブランド：CHRISTINA（クリスティーナ） • ライン：BIOPHYTO（バイオフィト） • 原産国：イスラエル ⸻ ハーバルコンプレックスは、肌本来のリズムを整え、くすみやゴワつきを改善するスペシャルケア美容液。 透明感と明るさを求める方におすすめです。 ※クリスティーナはカウンセリングの必要な化粧品になりますので、初回ご購入の方は【カウンセリング希望】と公式LINEにメッセージをください♡","in stock","new","11000 JPY","https://aimer12.base.shop/items/116829277","https://baseec-img-mng.akamaized.net/images/item/origin/c0c146185c971823fb98d2a3aa9930d7.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal","https://baseec-img-mng.akamaized.net/images/item/origin/49b9977e1fde0a2a6d5bb6b5acbcad79.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal,https://baseec-img-mng.akamaized.net/images/item/origin/055d9236c9fc28e06d386bf266a29651.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal","CHRISTINA","CHRISTINA > BIOPHYTO(ビオフィート)",""
"138311934","iLLON POST PROTECTIVE SOOTHING MASK (イロン ポストプロテクティブ スージング マスク) 37g×5枚","【本社の意向により、こちらの商品はサロン専売品のため、店頭価格より高く設定されています】 POST PROTECTIVE SOOTHING MASK｜ポストプロテクティブ スージング マスク ダメージ肌を癒す高保湿シートマスク 乾燥や外部刺激で敏感になった肌を、やさしく包み込みながら鎮静・保湿するPOST PROTECTIVE SOOTHING MASK（ポストプロテクティブ スージング マスク）。アスタキサンチンを含むマイクロファイバーセルロースシートを使用し、肌のバリア機能をサポート。植物性ミネラルやエストロゲン成分を配合した特殊ゲルエッセンスが素早く浸透し、潤いと透明感を与えます。レーザー施術後や特別な日のスキンケアにぴったりなILLON（イロン）の高機能シートマスクです。​ 【特徴】 ✔ 37gの大容量エッセンス配合でしっかり保湿 ✔ 1.3倍のビッグサイズで顔全体を包み込む ✔ アスタキサンチン配合で抗酸化＆エイジングケア ✔ 天然楮（こうぞ）シートで低刺激＆美白ケア ✔ レーザー・ピーリング後のケアに最適 【主成分と効果】 ✅ アスタキサンチン：高い抗酸化作用で肌を健やかに保つ ✅ ヒアルロン酸ナトリウム：肌のバリアを強化し、水分を保持 ✅ 天然ビタミンE（酢酸トコフェロール）：乾燥を防ぎ、肌の保護バリアを形成 ✅ ヘデラヘリックスエキス（アイビーエキス）：毛穴を引き締め、鎮静効果 ✅ ヒマワリ種子エキス：抗酸化作用で肌の老化を防ぐ ✅ ベータグルカン：水分補給と鎮静効果で肌荒れを予防​ 【使用方法】 ① 洗顔後、化粧水で肌を整える。 ② マスクを袋から取り出し、顔全体に密着させる。 ③ 10〜15分放置し、その後マスクを剥がす。 ④ 肌に残ったエッセンスをやさしくなじませ、仕上げにクリームで保湿するとより効果的。 【こんな方におすすめ】 ⚪︎ レーザーやピーリング施術後のケアをしたい方 ⚪︎ 乾燥や刺激で敏感になった肌を落ち着かせたい方 ⚪︎ エイジングケアを意識し、抗酸化成分を取り入れたい方 ⚪︎ 特別な日の前に肌を整え、潤いとハリを与えたい方 【まとめ】 POST PROTECTIVE SOOTHING MASKは、抗酸化・保湿・鎮静の3つのケアを同時に叶える高機能シートマスクです。ダメージを受けた肌の回復をサポートし、ふっくらとした健やかな肌へ導きます。 毎日のスキンケアに取り入れることで、潤いと透明感のある素肌をキープ。特別な日のスペシャルケアや、レーザー・ピーリング後のアフターケアにぜひお試しください。​","in stock","new","5700 JPY","https://aimer12.base.shop/items/138311934","https://baseec-img-mng.akamaized.net/images/item/origin/156339b8b4b22243f3a7299d637e55f7.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal","https://baseec-img-mng.akamaized.net/images/item/origin/18777f5ec7455659bb964fc377b7f215.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal,https://baseec-img-mng.akamaized.net/images/item/origin/defb2985222941713b02721103e3dad7.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal,https://baseec-img-mng.akamaized.net/images/item/origin/f03b300a782f67a18f6da1e152da0c30.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal","illon","illon",""
"138311767","iLLON BB CERAM （イロン BB クリーム）30g","【iLLON BB CERAM｜1本で叶える肌ケアと美肌演出】 忙しい朝も、肌悩みが気になる日中も、これ1本で頼れる多機能BBクリーム。iLLON BB CERAM（イロン BB クリーム）は、スキンケアとベースメイクを同時に叶えるトータルケア処方。美白・シワ改善・紫外線防御のトリプルアクションで、明るくハリのある肌印象へと導き、敏感肌にもやさしい低刺激性設計で毎日の肌に安心を届けます。 自然なカバー力と軽やかな密着感で、毛穴や凹凸をふんわりとカバー。日中のメイク直しも少なく、素肌美を引き出すナチュラルな仕上がりに。美しさと快適さを1本で手に入れる、新しい時短スキンケアの選択肢です。 【特徴】 ✔ 美白・シワ改善・UVカットのトリプルアクション ✔ 肌にぴたっと密着し、毛穴落ち・粉浮きしにくい処方 ✔ 薄づきなのに自然にカバー、ナチュラルな仕上がり ✔ さらっとした使い心地で、重ねてもベタつかない ✔ スキンケア・日焼け止め・下地・ファンデの4役を1本に凝縮 ✔ 低刺激性認定で敏感肌にもやさしく使える 【主成分と効果】 ✅ あずきエキス：天然由来の抗酸化力でくすみをケアし、肌を健やかに整える ✅ フィトステロール：保湿・保護力に優れ、肌バリアをサポート ✅ ナイアシンアミド：美白機能でトーンアップを促進 ✅ アデノシン：シワ改善に働きかけ、弾力感のある肌へ導く ✅ UVカット成分：紫外線から肌を守り、日中の外的ダメージを予防 【使用方法】 ① 朝のスキンケア後、適量（パール粒大）を手に取る ② 顔全体にやさしくのばし、気になる部分には重ね塗り ③ 軽く叩き込むように馴染ませて完成 ※通常の洗顔料でオフ可能。メイク落とし不要で簡単ケア 【こんな方におすすめ】 ⚪ 忙しい朝の時短ケアを叶えたい方 ⚪ 紫外線やくすみ、シワが気になる方 ⚪ 日中もスキンケア効果を求める美容志向の方 ⚪ 敏感肌でベースメイク選びに悩んでいる方 ⚪ ナチュラルで素肌感のある仕上がりが好きな方 【まとめ】 iLLON BB CERAM（イロン BB クリーム）は、1本で肌ケアと美肌演出を叶える次世代のBBクリーム。美白・シワ改善・紫外線対策をこなしながら、快適でナチュラルな肌を演出。素肌に自信を持ちたいすべての人に、毎日のスキンケアを格上げする1本としておすすめします。","in stock","new","9490 JPY","https://aimer12.base.shop/items/138311767","https://baseec-img-mng.akamaized.net/images/item/origin/3f8079b4f7c20e837bde178ab55f325e.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal","https://baseec-img-mng.akamaized.net/images/item/origin/5c881bc94c2e5bfe9c6a9d6f14d2b94e.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal,https://baseec-img-mng.akamaized.net/images/item/origin/5ec4737fc0977c2e2e6dce8c0e198110.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal","illon","illon",""
"138311723","iLLON FORDEF SUN SERUM SPF50 + PA++++ 60ml","ILLON（イロン）FORDEF SUN SERUM SPF50 + PA++++ FORDEF SUN SERUM SPF50 + PA++++｜汗・水に強い3重機能性セラム 紫外線から肌をしっかり守りながら、べたつかず快適な使い心地を実現した「FORDEF SUN SERUM SPF50 + PA++++」。 美白・シワ改善・紫外線カットの3重機能を兼ね備え、敏感肌でも安心して使える処方。 汗や水にも強く、日常使いからアウトドアまで幅広く活躍する新感覚の日焼け止めセラムです​。 【特徴】 ✔ SPF50+ / PA++++ の強力な紫外線ブロック機能 ✔ 目にしみにくい処方で快適な使い心地 ✔ 汗・水にも強いウォータープルーフ＆スウェットプルーフ ✔ 白浮きしにくく、べたつかないセラムタイプ ✔ 美白・シワ改善・紫外線カットの3重機能性 【主成分と効果】 ✅ ニューロペプチド：肌のハリをサポートし、エイジングケアに貢献 ✅ フィトコレステロール：肌バリアを強化し、保湿効果を高める ✅ 長寿遺伝子(NMN)：細胞のエネルギー代謝を助け、肌の再生をサポート ✅ 有機紫外線遮断剤：肌への負担を抑えながら、強力な紫外線防御を実現 【使用方法】 ① スキンケア後、適量を手に取ります。 ② 顔全体にムラなく伸ばし、やさしくなじませます。 ③ 特に紫外線を受けやすい頬や額、鼻などには重ね塗りをおすすめします。 ④ 長時間の外出や汗をかいた後は、こまめに塗り直してください。 【こんな方におすすめ】 ⚪︎ 白浮きせず、自然になじむ日焼け止めを探している方 ⚪︎ 敏感肌でも使える低刺激なUVケアを求めている方 ⚪︎ 汗や水に強く、レジャーやスポーツ時にも使いたい方 ⚪︎ 美白＆エイジングケアもできる多機能アイテムが欲しい方 【まとめ】 「FORDEF SUN SERUM SPF50 + PA++++」は、紫外線防御だけでなく、美白＆シワ改善の効果も兼ね備えた新感覚のUVセラム。 汗や水に強く、軽いつけ心地でありながら高機能な処方は、あらゆるシーンで活躍します。 毎日のスキンケアにプラスして、紫外線ダメージから肌をしっかり守りましょう​。","in stock","new","7340 JPY","https://aimer12.base.shop/items/138311723","https://baseec-img-mng.akamaized.net/images/item/origin/1e10fb8992c5e1018168124df31b3860.png?imformat=generic&q=90&im=Resize,width=1200,type=normal","https://baseec-img-mng.akamaized.net/images/item/origin/5cfff3b3452acf5b49d7c3d676b13dba.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal,https://baseec-img-mng.akamaized.net/images/item/origin/e7569fa1cbc7867869b9a3bb28e5c9a2.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal,https://baseec-img-mng.akamaized.net/images/item/origin/b408f398f745b7d6bba9cd9cd9aa3e0f.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal","illon","illon",""
"138311611","iLLON FORDEF SUN STICK SPF 50+ / PA++++ (イロン フォーデフ サンスティック) 15g","【本社の意向により、こちらの商品はサロン専売品のため、店頭価格より高く設定されています】 FORDEF SUN STICK SPF 50+ / PA++++｜フォーデフ サンスティック 【FORDEF SUN STICK SPF 50+ / PA++++｜汗や水に強い、なめらか密着の日焼け止め】 強力な紫外線対策をしながら、白浮きやベタつきを抑えた快適な使い心地を実現する「FORDEF SUN STICK SPF 50+ / PA++++」。アウトドアやスポーツ時にも頼れるウォータープルーフ処方で、汗をかいても崩れにくいのが特長です。敏感肌にも使いやすい成分設計で、日常使いにも最適なサンスティックです。 【特徴】 ✔ SPF 50+ / PA++++の強力な紫外線ブロック 紫外線A波・B波をしっかりガードし、日焼けによる肌ダメージを防ぎます。 ✔ 白浮きせず、なめらかに密着 透明感のある仕上がりで、肌になじみやすく使いやすい処方です。 ✔ 汗や水に強いウォータープルーフ処方 アウトドアやスポーツシーンでも落ちにくく、長時間紫外線を防ぎます。 ✔ 目にしみにくく、快適な使い心地 目元にも安心して使え、快適な使用感が続きます。 ✔ テカリを抑え、肌をサラッとキープ 皮脂コントロール成分配合で、汗や皮脂によるベタつきを防ぎます。​ 【主成分と効果】 ✅ フィトコレステロール：肌の保護膜を強化し、水分バランスを整える ✅ ニューロペプチド：肌のコンディションを整え、ハリを与える ✅ 長寿遺伝子(NMN)：肌の健康維持をサポートし、紫外線によるダメージをケア 【使用方法】 ① スティックを5mm程度繰り出し、顔や首、腕などに直接塗布します。 ② 均一になじませるために、軽く手で押さえます。 ③ 汗をかいた後や長時間の外出時には、こまめに塗り直してください。 【こんな方におすすめ】 ⚪︎ アウトドアやスポーツを楽しむ方：汗や水に強いので、レジャーや運動時にも最適 ⚪︎ 白浮きやベタつきを避けたい方：さらっと快適な使い心地で、メイクの上からも使用可能 ⚪︎ 敏感肌の方：目にしみにくく、肌に優しい処方 【まとめ】 「FORDEF SUN STICK SPF 50+ / PA++++」は、汗や水にも負けず、白浮きやベタつきのない快適な日焼け止めスティック。手軽に塗れて持ち運びやすいので、日常使いからアウトドアまで幅広く活躍します。強い日差しの下でも肌をしっかり守り、快適な毎日をサポートします。","in stock","new","6960 JPY","https://aimer12.base.shop/items/138311611","https://baseec-img-mng.akamaized.net/images/item/origin/d15281624c03175afe1cf40b78a5c439.png?imformat=generic&q=90&im=Resize,width=1200,type=normal","https://baseec-img-mng.akamaized.net/images/item/origin/d166a145c65a253d808db114c8559639.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal,https://baseec-img-mng.akamaized.net/images/item/origin/c04319bc714dd63a4e5e1f27d66a3d2f.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal,https://baseec-img-mng.akamaized.net/images/item/origin/ba689435805414d0f7c4e26d562e6f26.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal","illon","illon",""
"138311446","illon FIRSTEIN TONER 210ml","肌の水分バリアを強化する高保湿角質密着トナー ⭐︎バリア機能が弱って、とにかく何使ってもヒリヒリされる方、オススメ！！ ⚫︎乾燥 ⚫︎肌バリア低下 しっとり潤うミルクタイプの化粧水です。角質ケアと保湿を同時に行い、肌の水分バリアを強化します。乾燥肌の方は重ね付けすることで、より高い浸透力を実感していただけます。また、シャワー後の乾燥した身体に軽く馴染ませることで、全身の保湿ケアが可能です。 〈主成分〉 加水分解ダイズタンパク/ビタミンコンプレックス／ホホ バ種子オイル／アナツバメ巣エキス／エーデルワイスカル ス培養エキス","in stock","new","8625 JPY","https://aimer12.base.shop/items/138311446","https://baseec-img-mng.akamaized.net/images/item/origin/7b7a52f96c76fa6ae6e84353cac62e65.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal","https://baseec-img-mng.akamaized.net/images/item/origin/fb2f7ef3b0d97ccc65ca68928f0c372f.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal,https://baseec-img-mng.akamaized.net/images/item/origin/cd04b34e24480d8c4e38a876fc421c1a.jpg?imformat=generic&q=90&im=Resize,width=1200,type=normal","illon","illon",""
